Termo de Busca,Ranking de Busca,ID do Anuncio,Titulo,Marca,Categoria,Preco (R$),Preco Original (R$),Desconto (%),Avaliacao (0-5),Qtd Avaliacoes,Vendas Estimadas,Faturamento Estimado (R$),Frete Gratis,FULL,Localizacao,Garantia,Link
Anis Estrelado 200g,6,MLB4651428914,Anis Estrelado 250g - Teka Naturais,TEKA NATURAIS,Chá,23,27.9,18,0,0,0,0,Nao,Sim,"São Bernardo do Campo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4651428914
Anis Estrelado 200g,7,MLB4456025189,Anis Estrelado - 100g - Paulistana Empório,Paulistana Empório,Chá,10.99,10.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4456025189
Anis Estrelado 200g,8,MLB4621154767,Anis Estrelado Ervas Secas 150 Gramas,ARDEA,Chá,34.9,34.9,0,0,0,0,0,Sim,Sim,"Cotia, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-4621154767
Anis Estrelado 200g,9,MLB3678365107,Chá Anis Estrelado Safra Nova (inteiros) 100g,Cerealista Express,Chá,22.9,22.9,0,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-3678365107
Semente De Girassol Crua Descascada 1kg,1,MLB4006390691,Semente De Girassol Descascada Crua Fillovita - Premium 1kg,Fillovita,Sementes,36.9,36.9,0,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4006390691
Semente De Girassol Crua Descascada 1kg,2,MLB3914130267,Semente De Girassol Crua Descascada (pepita) - 1kg - Paulistana Empório,Paulistana Empório,Sementes,20.99,20.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-3914130267
Semente De Girassol Crua Descascada 1kg,3,MLB5335528440,Semente De Girassol Descascada Crua Fillovita - Embalagem de 500g,Fillovita,Sementes,34.9,34.9,0,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5335528440
Semente De Girassol Crua Descascada 1kg,4,MLB3916547385,Semente De Girassol Pepita Crua 1kg,Requena,Sementes,24.24,28.9,16,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-3916547385
Semente De Girassol Crua Descascada 1kg,5,MLB4651416812,Semente De Girassol Crua Sem Sal 1kg,Teka alimentos,Sementes,26.5,27.9,5,0,0,0,0,Nao,Sim,"São Bernardo do Campo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4651416812
Semente De Girassol Crua Descascada 1kg,6,MLB4235359283,1kg Semente De Girassol Pepita Sem Casca Crua,Natural Bee,Sementes,23,29.99,23,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-4235359283
